1	this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .
0	is office work really as alienating as 'bartleby' so effectively makes it ?
0	horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .
1	heavy-handed exercise in time-vaulting literary pretension .
0	easily one of the best and most exciting movies of the year .
1	you . . . get a sense of good intentions derailed by a failure to seek and strike just the right tone .
1	johnson has , in his first film , set himself a task he is not nearly up to .
0	' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '
0	one of recent memory's most thoughtful films about art , ethics , and the cost of moral compromise .
1	a supernatural mystery that doesn't know whether it wants to be a suspenseful horror movie or a weepy melodrama . it ends up being neither , and fails at both endeavors .
0	jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .
0	a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .
0	[drumline] is entertaining for what it does , and admirable for what it doesn't do .
0	this ready-made midnight movie probably won't stand the cold light of day , but under the right conditions , it's goofy ( if not entirely wholesome ) fun .
0	sparkling , often hilarious romantic jealousy comedy . . . attal looks so much like a young robert deniro that it seems the film should instead be called 'my husband is travis bickle' .
1	the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .
1	affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .
1	all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast .
1	. . . think of it as american pie on valium .
0	a delirious celebration of the female orgasm .
0	beautifully produced .
1	billy crystal and robert de niro sleepwalk through vulgarities in a sequel you can refuse .
0	a beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .
1	there's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging .
1	most fish stories are a little peculiar , but this is one that should be thrown back in the river .
1	the action scenes have all the suspense of a 20-car pileup , while the plot holes are big enough for a train car to drive through -- if kaos hadn't blown them all up .
1	the plan to make enough into an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller' has flopped as surely as a soufflé gone wrong .
0	a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .
0	an overly melodramatic but somewhat insightful french coming-of-age film . . .
0	a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one .
1	barely manages for but a few seconds over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference .
0	this is unusual , food-for-thought cinema that's as entertaining as it is instructive .
0	the message of such reflections--intentional or not--is that while no art grows from a vacuum , many artists exist in one .
1	instead of making his own style , director marcus adams just copies from various sources  good sources , bad mixture
1	outside of burger's desire to make some kind of film , it's really unclear why this project was undertaken
0	this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .
1	with its parade of almost perpetually wasted characters . . . margarita feels like a hazy high that takes too long to shake .
1	entertaining enough , but nothing new
0	i'd watch these two together again in a new york minute .
0	has a lot of the virtues of eastwood at his best .
1	madonna has made herself over so often now , there's apparently nothing left to work with , sort of like michael jackson's nose .
1	it's fitfully funny but never really takes off .
1	often silly  and gross  but it's rarely as moronic as some campus gross-out films .
1	scores no points for originality , wit , or intelligence . it's a cookie-cutter movie , a cut-and-paste job .
0	[a] wonderfully loopy tale of love , longing , and voting .
0	adam sandler ! in an art film !
0	the script is smart , not cloying .
0	the movie exists for its soccer action and its fine acting .
0	a hallmark film in an increasingly important film industry and worth the look .
1	a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics aren't likely to enter the theater .
0	while maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among wiseman's warmest .
1	was i scared ? only at the prospect of beck's next project . let's see , a haunted house , a haunted ship , what's next . . . ghost blimp ?
1	any reasonably creative eighth-grader could have written a more credible script , though with the same number of continuity errors .
1	seeing as the film lacks momentum and its position remains mostly undeterminable , the director's experiment is a successful one .
0	moretti . . . is the rare common-man artist who's wise enough to recognize that there are few things in this world more complex -- and , as it turns out , more fragile -- than happiness .
1	in moonlight mile , no one gets shut out of the hug cycle .
1	not counting a few gross-out comedies i've been trying to forget , this is the first film in a long time that made me want to bolt the theater in the first 10 minutes .
0	a beautifully observed character piece .
1	i'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap cliché .
0	a wild , endearing , masterful documentary .
1	so few movies explore religion that it's disappointing to see one reduce it to an idea that fits in a sampler .
0	a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard's finest work .
0	a moving and solidly entertaining comedy/drama that should bolster director and co-writer juan josé campanella's reputation in the united states .
0	touché !
1	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .
1	when not obscured by the booming bass-heavy soundtrack , the conversation presents the kind of linguistic fumbling not heard since macy gray's game of chinese whispers with mr bean .
0	this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton's ever-watchful gaze -- and it's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .
0	writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is undeniable .
1	the character of zigzag is not sufficiently developed to support a film constructed around him .
0	the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .
1	. . . unlikable , uninteresting , unfunny , and completely , utterly inept .
0	it provides a grim , upsetting glimpse at the lives of some of the 1 . 2 million palestinians who live in the crowded cities and refugee camps of gaza .
1	a movie that hovers somewhere between an acute character study and a trite power struggle .
0	the movie's eventual success should be credited to dennis quaid , in fighting trim shape as an athlete as well as an actor
0	polished , well-structured film .
1	broomfield's style of journalism is hardly journalism at all , and even those with an avid interest in the subject will grow impatient .
0	at its worst the screenplay is callow , but at its best it is a young artist's thoughtful consideration of fatherhood .
0	one of the greatest films i've ever seen .
0	it's definitely an improvement on the first blade , since it doesn't take itself so deadly seriously .
0	the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .
0	the ingenious construction ( adapted by david hare from michael cunningham's novel ) constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism
0	it's crafty , energetic and smart -- the kid is sort of like a fourteen-year old ferris bueller .
0	francophiles will snicker knowingly and you'll want to slap them .
0	the most compelling wiseman epic of recent years .
1	there are cheesy backdrops , ridiculous action sequences , and many tired jokes about men in heels .
0	the result is more depressing than liberating , but it's never boring .
0	an entertaining , colorful , action-filled crime story with an intimate heart .
1	much of the digitally altered footage appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché .
0	a miraculous movie , i'm going home is so slight , yet overflows with wisdom and emotion .
1	while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primitive approach to the mechanics of comedy .
1	just like every other seagal movie , only louder and without that silly ponytail .
1	choppy editing and too many repetitive scenes spoil what could have been an important documentary about stand-up comedy .
0	the film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .
0	i found myself liking the film , though in this case one man's treasure could prove to be another man's garbage .
